line_no,line_name,,,,,,
341,Guildford/Newton Exchange,,,,,,
342,Langley Centre/Newton Exchange,,,,,,
345,King George Station/White Rock Centre,,,,,,
350,White Rock Centre/Crescent Beach,,,,,,
351,White Rock Centre/Bridgeport Station,,,,,,
352,Ocean Park/Bridgeport Station,,,,,,
354,White Rock South/Bridgeport Station,,,,,,
360,Ocean Park/Peace Arch Hospital,,,,,,
361,Ocean Park/White Rock Centre,,,,,,
362,Seaside/White Rock Centre,,,,,,
363,Southpoint/Peace Arch Hospital,,,,,,
364,Langley Centre/Scottsdale,,,,,,
370,Cloverdale/Willowbrook,,,,,,
371,Surrey Central/Scott Rd Station,,,,,,
372,Clayton Heights/Langley Centre,,,,,,
373,Guildford/Surrey Central Station,,,,,,
375,White Rock/White Rock South/Guildford,,,,,,
388,22nd St Station/Carvolth Exchange,,,,,,
391,Scottsdale/Scott Road Station,,,,,,
393,Newton Exchange/Surrey Central Station,,,,,,
394,White Rock/King George Station Express,,,,,,
395,Langley Centre/King George Station,,,,,,
401,Richmond-Brighouse Station/One Road,,,,,,
402,Two Road/Brighouse Station,,,,,,
403,Bridgeport Station/Three Road,,,,,,
404,Four Road/Brighouse Station,,,,,,
405,Five Road/Cambie,,,,,,
406,Richmond Brighouse Station/Steveston,,,,,,
407,Gilbert/Bridgeport,,,,,,
408,Brighouse/Ironwood/Riverport,,,,,,
410,Richmond-Brighouse Station/22nd St Station,,,,,,
412,Bridgeport Station/Sea Island South,,,,,,
413,Riverport/Steveston,,,,,,
414,Richmond Oval/Brighouse Station,,,,,,
416,East Cambie/Brighouse Station,,,,,,
418,Kingswood/22nd St Station,,,,,,
430,Metrotown/Brighouse Station,,,,,,
501,Langley Centre/Surrey Central Station,,,,,,
502,Langley Centre/Surrey Central Station,,,,,,
503,Aldergrove/Surrey Central Station,,,,,,
509,Walnut Grove/Surrey Central Station,,,,,,
531,White Rock Centre/Willowbrook,,,,,,
555,Carvolth Exchange/Lougheed Station,,,,,,
560,Murrayville/Langley Centre,,,,,,
561,Langley Centre/Brookswood,,,,,,
562,Langley Centre/Walnut Grove,,,,,,
563,Langley Centre/Fernridge,,,,,,
564,Langley Centre/Willowbrook,,,,,,
595,Maple Meadows Station/Langley Centre,,,,,,
601,South Delta/Boundary Bay/Bridgeport,,,,,,
602,Tsawwassen Heights/Bridgeport,,,,,,
603,Beach Grove/Bridgeport,,,,,,
604,English Bluff/Bridgeport,,,,,,
606,Ladner Ring,,,,,,
608,Ladner Ring,,,,,,
609,Tsawwassen First Nation/South Delta,,,,,,
614,English Bluff/South Delta Exchange,,,,,,
616,Ladner South/Ladner Exchange,,,,,,
618,Ladner North/Ladner Exchange,,,,,,
619,Boundary Bay/South Delta Recreation Centre,,,,,,
620,Tsawwassen Ferry/Bridgeport Station,,,,,,
640,Ladner Exchange/Scott Road Station,,,,,,
701,Haney/Maple Ridge East/Coquitlam Station,,,,,,
719,Meadowtown/Fraser Way,,,,,,
722,Meadowtown/Bonson,,,,,,
733,Rock Ridge/Haney Place/Port Haney Station,,,,,,
741,Anderson Creek/Haney Place/Port Haney St,,,,,,
743,Haney Place/Maple Meadows Station/Meadowtown,,,,,,
744,Haney Place/Maple Meadows Station/Meadowtown,,,,,,
745,Haney Place/Cottonwood,,,,,,
746,Haney Place/Albion,,,,,,
748,Thornhill/Haney Place,,,,,,
749,Ruskin/Haney Place,,,,,,
791,Haney Place/Braid Station,,,,,,
840,Brookswood School,,,,,,
848,Port Moody Secondary School,,,,,,
855,Elgin Park School Special,,,,,,
861,Riverside School,,,,,,
863,Terry Fox/Arch Carney,,,,,,
864,Lord Tweedsmuir School,,,,,,
865,Samuel Robertson,,,,,,
880,Windsor School Specials,,,,,,
881,Carson Graham School Specials,,,,,,
CL,Canada Line,,,,,,
EL,Expo Line,,,,,,
ML,Millennium Line,,,,,,
N10,Downtown/Richmond NightBus,,,,,,
N15,Downtown/Cambie NightBus,,,,,,
N17,Downtown/UBC NightBus,,,,,,
N19,Downtown/Surrey Central Station NightBus,,,,,,
N20,Downtown/Victoria NightBus,,,,,,
N22,Downtown/Macdonald NightBus,,,,,,
N24,Downtown/Lynn Valley NightBus,,,,,,
